Number,Ticker,sector,city,industry,profitMargins,priceToBook,bookValue,shortRatio,revenuePerShare,operatingMargins,forwardEps,heldPercentInstitutions,heldPercentInsiders,marketCap,profitMargins,volume,totalDebt,totalCash,beta,totalCashPerShare,enterpriseValue,floatShares,volume,numberOfAnalystOpinions,COVID BEHAVIOUR,COVID DEPENDANCY,CLASS,15/3/2020 0:00,10/4/2020 0:00,10/5/2020 0:00,10/9/2020 0:00,1/1/2021 0:00,20/2/2021 0:00,15/5/2021 0:00,10/9/2021 0:00
1,AAPL,Technology,Cupertino,Consumer Electronics,0.25004,36.81092,3.882,1.28,20.61,0.28788,5.68,0.58694,0.00073,2.38466E+12,0.25004,58773155,1.35491E+11,61696000000,1.202797,3.732,2.43596E+12,16512974627,58773155,42,DIIDI,3,0,66.45899963,65.99749947,85.24949799,113.9074993,129.9274998,129.9220001,129.8819962,153.7100029
3,ADI,Technology,Wilmington,Semiconductors,0.26153,5.111401,32.989,2.22,17.631,0.32747,6.96,0.70572996,0.00215,62191607808,0.26153,3145920,5330696192,1480701056,1.213973,4.021,67948748800,366719391,3145920,22,IIIID,6,1,93.97200165,98.06000137,120.8080002,114.1149998,147.920002,160.2740021,167.1800018,166.4225006
4,ADM,Consumer Defensive,Chicago,Farm Products,0.030869998,1.6975565,37.283,1.94,133.434,0.03542,4.45,0.81336,0.00498,35402276864,0.030869998,2103471,10789999616,958000000,0.850264,1.713,44895592448,556894078,2103471,13,IIIID,3,0,34.20999985,36.45499992,40.92799988,46.04500008,51.00500011,56.1519989,64.35600052,59.69249916
5,ADP,Industrials,Roseland,Staffing & Employment Services,0.17317,15.405769,13.382,2.53,35.199,0.22361,7.3,0.81255996,0.00126,87724793856,0.17317,1002526,3446400000,2575200000,0.745024,6.087,88093491200,422454397,1002526,18,DIIDI,4,0,139.9339981,139.4150009,152.9759979,134.6224976,170.3875008,169.2000031,198.5159973,202.8375015
6,ADSK,Technology,San Rafael,Software—Application,0.33315,54.38487,5.129,2.06,17.74,0.17001,6.87,0.91800004,0.00191,61324959744,0.33315,797433,2091200000,923200000,1.344444,4.196,63579176960,219672294,797433,19,IIIII,6,1,152.197998,156.2825012,229.2619995,228.204998,301.6875,302.9119995,276.9679993,287.2824936
7,AEE,Utilities,Saint Louis,Utilities—Regulated Electric,0.16077,2.257896,36.379,2.47,22.826,0.25074,4.03,0.76997,0.00442,21122054144,0.16077,604155,12931000320,99000000,0.31164,0.385,34083067904,255614565,604155,13,DDDDI,1,0,75.59199982,75.20750046,74.18799896,77.20999908,76.58499908,72.67600098,85.23399963,87.36499977
8,AEP,Utilities,Columbus,Utilities—Regulated Electric,0.14807001,1.9555911,42.739,3.39,31.734,0.20605,4.97,0.74846,0.00023,41810980864,0.14807001,1879317,37056901120,534400000,0.305291,1.068,78584709120,499751088,1879317,17,DIIDI,2,0,87.02200165,81.73749924,84.55000305,79.1400013,82.07999992,78.60200043,84.78399963,89.70500183
9,AIG,Financial Services,New York,Insurance—Diversified,0.09495,0.7508244,76.729,2.55,51.154,0.1309,5.39,0.92015,0.00089,49268187136,0.09495,2217177,35726999552,17870000128,1.341269,20.896,68435214336,854107778,2217177,12,DIIII,8,1,28.98400002,23.86250019,35.39800034,28.64999962,38.23750019,42.84200058,51.01999969,54.6524992
11,AIZ,Financial Services,New York,Insurance—Specialty,0.04632,1.6323676,99.371,2.2,171.276,0.088640004,12.04,0.99279,0.00996,9824508928,0.04632,214645,2550500096,2893600000,0.662117,49.2,9197052928,58228400,214645,5,IIIDI,3,0,101.4619995,106.7824993,112.0779999,119.6799984,134.6074982,124.9279984,159.8100006,169.3524971
12,AJG,Financial Services,Rolling Meadows,Insurance Brokers,0.11999,3.8714652,40.207,1.72,38.045,0.17816,5.79,0.86843,0.00887,30491772928,0.11999,1350286,6391099904,3204100096,0.693777,15.497,35411005440,204672162,1350286,11,DIIDI,4,0,89.72399902,84.09249878,98.65000153,102.0075016,121.3299999,119.0060013,142.9619995,144.4150009
